Frequency in Hz,Power in dBm
600000000.0,-76.80
601353637.9,-76.55
602707275.8,-75.13
604060913.7,-75.95
605414551.6,-76.75
606768189.5,-75.65
608121827.4,-73.47
609475465.3,-73.99
610829103.2,-74.13
612182741.1,-74.54
613536379.0,-75.30
614890016.9,-75.82
616243654.8,-76.67
617597292.7,-75.45
618950930.6,-76.89
620304568.5,-74.55
621658206.4,-74.95
623011844.3,-74.77
624365482.2,-74.25
625719120.1,-73.84
627072758.0,-75.39
628426395.9,-74.02
629780033.8,-74.11
631133671.7,-74.82
632487309.6,-75.25
633840947.5,-74.37
635194585.4,-75.32
636548223.4,-75.83
637901861.3,-75.26
639255499.2,-74.22
640609137.1,-75.72
641962775.0,-76.51
643316412.9,-75.29
644670050.8,-73.70
646023688.7,-64.96
647377326.6,-62.69
648730964.5,-63.10
650084602.4,-63.17
651438240.3,-63.05
652791878.2,-65.54
654145516.1,-73.33
655499154.0,-76.07
656852791.9,-76.00
658206429.8,-75.12
659560067.7,-74.70
660913705.6,-74.78
662267343.5,-75.46
663620981.4,-75.14
664974619.3,-76.22
666328257.2,-76.08
667681895.1,-76.36
669035533.0,-75.91
670389170.9,-76.50
671742808.8,-76.04
673096446.7,-75.92
674450084.6,-76.05
675803722.5,-75.41
677157360.4,-75.94
678510998.3,-76.31
679864636.2,-76.11
681218274.1,-75.75
682571912.0,-76.27
683925549.9,-75.26
685279187.8,-74.88
686632825.7,-75.38
687986463.6,-75.69
689340101.5,-75.32
690693739.4,-76.16
692047377.3,-75.76
693401015.2,-75.11
694754653.1,-74.78
696108291.0,-74.74
697461928.9,-75.26
698815566.8,-75.72
700169204.7,-75.79
701522842.6,-75.18
702876480.5,-75.81
704230118.4,-74.85
705583756.3,-74.89
706937394.2,-75.95
708291032.1,-75.04
709644670.1,-76.07
710998308.0,-75.35
712351945.9,-75.10
713705583.8,-74.36
715059221.7,-74.17
716412859.6,-76.19
717766497.5,-74.81
719120135.4,-75.31
720473773.3,-75.17
721827411.2,-73.42
723181049.1,-73.98
724534687.0,-75.20
725888324.9,-75.36
727241962.8,-75.04
728595600.7,-74.90
729949238.6,-75.10
731302876.5,-75.52
732656514.4,-76.03
734010152.3,-75.11
735363790.2,-74.34
736717428.1,-74.66
738071066.0,-76.06
739424703.9,-75.04
740778341.8,-74.18
742131979.7,-74.61
743485617.6,-74.85
744839255.5,-74.94
746192893.4,-75.37
747546531.3,-74.74
748900169.2,-74.32
750253807.1,-75.13
751607445.0,-74.18
752961082.9,-74.60
754314720.8,-75.22
755668358.7,-74.35
757021996.6,-72.96
758375634.5,-75.46
759729272.4,-74.81
761082910.3,-75.44
762436548.2,-75.48
763790186.1,-75.24
765143824.0,-74.95
766497461.9,-74.32
767851099.8,-72.18
769204737.7,-68.31
770558375.6,-68.92
771912013.5,-68.19
773265651.4,-67.63
774619289.3,-65.43
775972927.2,-65.48
777326565.1,-52.14
778680203.0,-48.14
780033840.9,-47.80
781387478.8,-44.62
782741116.8,-47.07
784094754.7,-46.13
785448392.6,-45.06
786802030.5,-47.70
788155668.4,-55.43
789509306.3,-65.55
790862944.2,-52.95
792216582.1,-49.53
793570220.0,-49.26
794923857.9,-50.53
796277495.8,-50.63
797631133.7,-51.87
798984771.6,-49.02
800338409.5,-51.58
801692047.4,-50.29
803045685.3,-52.82
804399323.2,-53.26
805752961.1,-54.10
807106599.0,-53.63
808460236.9,-53.78
809813874.8,-54.65
811167512.7,-45.10
812521150.6,-43.35
813874788.5,-43.55
815228426.4,-46.91
816582064.3,-50.35
817935702.2,-50.59
819289340.1,-51.61
820642978.0,-54.37
821996615.9,-64.74
823350253.8,-72.54
824703891.7,-74.17
826057529.6,-74.62
827411167.5,-75.25
828764805.4,-74.54
830118443.3,-74.49
831472081.2,-73.92
832825719.1,-75.27
834179357.0,-73.26
835532994.9,-74.93
836886632.8,-74.39
838240270.7,-75.30
839593908.6,-75.80
840947546.5,-74.63
842301184.4,-65.71
843654822.3,-42.22
845008460.2,-37.36
846362098.1,-43.51
847715736.0,-49.30
849069373.9,-44.19
850423011.8,-44.55
851776649.7,-58.37
853130287.6,-66.53
854483925.5,-74.00
855837563.5,-73.13
857191201.4,-74.34
858544839.3,-75.09
859898477.2,-75.05
861252115.1,-74.87
862605753.0,-76.19
863959390.9,-74.78
865313028.8,-71.48
866666666.7,-72.39
868020304.6,-72.71
869373942.5,-74.02
870727580.4,-74.68
872081218.3,-74.67
873434856.2,-75.05
874788494.1,-74.61
876142132.0,-74.41
877495769.9,-75.19
878849407.8,-74.86
880203045.7,-74.31
881556683.6,-75.10
882910321.5,-75.54
884263959.4,-73.51
885617597.3,-74.80
886971235.2,-75.58
888324873.1,-75.55
889678511.0,-74.71
891032148.9,-75.09
892385786.8,-75.60
893739424.7,-75.62
895093062.6,-74.85
896446700.5,-74.99
897800338.4,-75.18
899153976.3,-74.42
900507614.2,-75.66
901861252.1,-74.95
903214890.0,-53.46
904568527.9,-20.85
905922165.8,-14.84
907275803.7,-15.70
908629441.6,-27.25
909983079.5,-36.54
911336717.4,-65.79
912690355.3,-74.65
914043993.2,-75.07
915397631.1,-75.94
916751269.0,-76.14
918104906.9,-75.42
919458544.8,-74.84
920812182.7,-75.01
922165820.6,-72.66
923519458.5,-71.38
924873096.4,-56.13
926226734.3,-52.67
927580372.3,-51.27
928934010.2,-50.46
930287648.1,-50.27
931641286.0,-49.71
932994923.9,-48.31
934348561.8,-49.04
935702199.7,-47.96
937055837.6,-46.99
938409475.5,-44.50
939763113.4,-53.83
941116751.3,-56.77
942470389.2,-56.64
943824027.1,-53.48
945177665.0,-49.47
946531302.9,-53.08
947884940.8,-49.74
949238578.7,-50.93
950592216.6,-58.05
951945854.5,-58.01
953299492.4,-62.27
954653130.3,-68.28
