Frequency in Hz,Power in dBm
600000000.0,-76.70
601353637.9,-76.70
602707275.8,-74.78
604060913.7,-76.17
605414551.6,-75.77
606768189.5,-76.21
608121827.4,-76.00
609475465.3,-74.71
610829103.2,-74.27
612182741.1,-73.72
613536379.0,-75.28
614890016.9,-75.77
616243654.8,-76.80
617597292.7,-74.34
618950930.6,-76.29
620304568.5,-72.86
621658206.4,-73.79
623011844.3,-73.49
624365482.2,-72.85
625719120.1,-74.92
627072758.0,-74.69
628426395.9,-75.04
629780033.8,-75.28
631133671.7,-75.51
632487309.6,-75.82
633840947.5,-76.49
635194585.4,-76.00
636548223.4,-76.27
637901861.3,-75.06
639255499.2,-74.95
640609137.1,-75.63
641962775.0,-75.92
643316412.9,-75.42
644670050.8,-72.09
646023688.7,-68.66
647377326.6,-64.59
648730964.5,-64.97
650084602.4,-61.68
651438240.3,-64.46
652791878.2,-65.99
654145516.1,-72.48
655499154.0,-75.22
656852791.9,-75.85
658206429.8,-76.18
659560067.7,-75.08
660913705.6,-75.33
662267343.5,-75.28
663620981.4,-75.19
664974619.3,-75.33
666328257.2,-76.01
667681895.1,-74.85
669035533.0,-74.60
670389170.9,-75.54
671742808.8,-76.31
673096446.7,-75.52
674450084.6,-74.95
675803722.5,-75.44
677157360.4,-76.22
678510998.3,-74.11
679864636.2,-75.83
681218274.1,-75.86
682571912.0,-75.07
683925549.9,-76.25
685279187.8,-75.91
686632825.7,-75.10
687986463.6,-74.95
689340101.5,-75.97
690693739.4,-75.20
692047377.3,-75.86
693401015.2,-76.31
694754653.1,-74.70
696108291.0,-75.67
697461928.9,-74.80
698815566.8,-75.98
700169204.7,-75.04
701522842.6,-76.22
702876480.5,-76.06
704230118.4,-75.26
705583756.3,-75.58
706937394.2,-75.16
708291032.1,-75.12
709644670.1,-74.83
710998308.0,-75.65
712351945.9,-75.19
713705583.8,-73.99
715059221.7,-75.65
716412859.6,-74.89
717766497.5,-75.19
719120135.4,-76.22
720473773.3,-75.69
721827411.2,-75.46
723181049.1,-73.96
724534687.0,-73.65
725888324.9,-75.43
727241962.8,-74.64
728595600.7,-74.50
729949238.6,-73.20
731302876.5,-75.11
732656514.4,-74.13
734010152.3,-74.92
735363790.2,-73.96
736717428.1,-74.39
738071066.0,-74.90
739424703.9,-74.39
740778341.8,-73.80
742131979.7,-73.00
743485617.6,-74.91
744839255.5,-75.98
746192893.4,-75.46
747546531.3,-75.44
748900169.2,-75.27
750253807.1,-75.08
751607445.0,-75.57
752961082.9,-75.87
754314720.8,-74.84
755668358.7,-75.35
757021996.6,-74.10
758375634.5,-74.45
759729272.4,-75.42
761082910.3,-74.02
762436548.2,-74.70
763790186.1,-73.92
765143824.0,-75.21
766497461.9,-74.91
767851099.8,-67.72
769204737.7,-67.54
770558375.6,-69.04
771912013.5,-67.38
773265651.4,-67.11
