Frequency in Hz,Power in dBm
600000000.0,-76.45
601353637.9,-75.86
602707275.8,-76.77
604060913.7,-76.22
605414551.6,-75.52
606768189.5,-75.30
608121827.4,-75.28
609475465.3,-74.85
610829103.2,-74.90
612182741.1,-74.17
613536379.0,-74.86
614890016.9,-75.25
616243654.8,-76.04
617597292.7,-75.24
618950930.6,-74.90
620304568.5,-73.67
621658206.4,-75.26
623011844.3,-75.10
624365482.2,-74.03
625719120.1,-74.58
627072758.0,-74.62
628426395.9,-75.14
629780033.8,-75.57
631133671.7,-76.41
632487309.6,-75.52
633840947.5,-76.50
635194585.4,-75.26
636548223.4,-75.04
637901861.3,-75.90
639255499.2,-74.61
640609137.1,-75.39
641962775.0,-76.02
643316412.9,-75.30
644670050.8,-72.01
646023688.7,-64.60
647377326.6,-61.67
648730964.5,-62.24
650084602.4,-62.25
651438240.3,-63.04
652791878.2,-64.23
654145516.1,-70.19
655499154.0,-74.13
656852791.9,-75.20
658206429.8,-75.97
659560067.7,-75.22
660913705.6,-75.37
662267343.5,-75.96
663620981.4,-75.59
664974619.3,-75.40
666328257.2,-76.21
667681895.1,-75.61
669035533.0,-75.02
670389170.9,-75.49
671742808.8,-75.90
673096446.7,-75.56
674450084.6,-74.64
675803722.5,-75.45
677157360.4,-76.33
678510998.3,-75.77
679864636.2,-74.82
681218274.1,-74.88
682571912.0,-75.19
683925549.9,-75.88
685279187.8,-76.14
686632825.7,-75.34
687986463.6,-75.55
689340101.5,-75.93
690693739.4,-75.28
692047377.3,-74.67
693401015.2,-75.03
694754653.1,-74.60
696108291.0,-75.67
697461928.9,-75.93
698815566.8,-74.01
700169204.7,-76.28
701522842.6,-75.32
702876480.5,-75.51
704230118.4,-75.35
705583756.3,-75.54
706937394.2,-75.72
708291032.1,-75.60
709644670.1,-75.96
710998308.0,-75.66
712351945.9,-74.59
713705583.8,-75.60
715059221.7,-75.57
716412859.6,-75.45
717766497.5,-75.48
719120135.4,-75.47
720473773.3,-75.46
721827411.2,-75.12
723181049.1,-75.09
724534687.0,-74.78
725888324.9,-74.53
727241962.8,-73.94
728595600.7,-75.39
729949238.6,-74.73
731302876.5,-75.20
732656514.4,-75.06
734010152.3,-74.65
735363790.2,-74.42
736717428.1,-73.47
738071066.0,-76.36
739424703.9,-73.72
740778341.8,-75.60
742131979.7,-74.73
743485617.6,-74.91
744839255.5,-74.28
746192893.4,-74.14
747546531.3,-74.93
748900169.2,-76.15
750253807.1,-75.01
751607445.0,-74.94
752961082.9,-74.73
754314720.8,-75.52
755668358.7,-74.65
757021996.6,-75.25
758375634.5,-74.61
759729272.4,-74.39
761082910.3,-74.58
762436548.2,-74.47
763790186.1,-75.31
765143824.0,-75.08
766497461.9,-74.64
767851099.8,-68.55
769204737.7,-69.40
770558375.6,-69.71
771912013.5,-70.41
773265651.4,-69.60
774619289.3,-62.67
775972927.2,-62.10
777326565.1,-50.17
778680203.0,-43.92
780033840.9,-46.54
781387478.8,-47.02
782741116.8,-45.81
784094754.7,-46.36
785448392.6,-43.87
786802030.5,-46.79
788155668.4,-54.20
789509306.3,-61.81
790862944.2,-57.92
792216582.1,-54.61
793570220.0,-52.58
794923857.9,-50.44
796277495.8,-49.77
797631133.7,-49.83
798984771.6,-54.29
800338409.5,-53.82
801692047.4,-53.56
803045685.3,-53.08
804399323.2,-53.36
805752961.1,-51.89
807106599.0,-53.12
808460236.9,-53.80
809813874.8,-54.76
811167512.7,-45.87
812521150.6,-42.28
813874788.5,-44.81
815228426.4,-45.21
816582064.3,-47.33
817935702.2,-46.08
819289340.1,-49.15
820642978.0,-50.05
821996615.9,-64.06
823350253.8,-70.02
824703891.7,-73.58
826057529.6,-75.41
827411167.5,-75.90
828764805.4,-73.56
830118443.3,-74.58
831472081.2,-75.00
832825719.1,-74.25
834179357.0,-73.75
835532994.9,-75.58
836886632.8,-75.67
838240270.7,-74.64
839593908.6,-75.21
840947546.5,-74.71
842301184.4,-75.10
843654822.3,-74.78
845008460.2,-74.68
846362098.1,-74.16
847715736.0,-74.65
849069373.9,-74.40
850423011.8,-75.27
851776649.7,-75.12
853130287.6,-75.41
854483925.5,-74.34
855837563.5,-74.07
857191201.4,-67.93
858544839.3,-73.23
859898477.2,-74.14
861252115.1,-75.52
862605753.0,-75.16
863959390.9,-75.39
865313028.8,-72.72
866666666.7,-73.17
868020304.6,-73.96
869373942.5,-75.08
870727580.4,-74.62
872081218.3,-75.50
873434856.2,-74.07
874788494.1,-74.52
876142132.0,-74.89
877495769.9,-74.22
878849407.8,-75.16
880203045.7,-75.38
881556683.6,-75.69
882910321.5,-75.23
884263959.4,-74.63
885617597.3,-75.30
886971235.2,-75.00
888324873.1,-74.86
889678511.0,-73.58
891032148.9,-74.82
892385786.8,-74.28
893739424.7,-75.47
895093062.6,-75.37
896446700.5,-75.39
897800338.4,-74.41
899153976.3,-74.49
900507614.2,-74.52
901861252.1,-75.90
903214890.0,-52.06
904568527.9,-22.87
905922165.8,-15.87
907275803.7,-17.29
908629441.6,-28.27
909983079.5,-37.17
911336717.4,-65.66
912690355.3,-75.19
914043993.2,-75.08
915397631.1,-74.03
916751269.0,-75.45
918104906.9,-73.35
919458544.8,-74.56
920812182.7,-75.57
922165820.6,-72.35
923519458.5,-69.91
924873096.4,-56.09
926226734.3,-54.28
927580372.3,-52.27
928934010.2,-49.95
930287648.1,-51.64
931641286.0,-49.76
932994923.9,-51.84
934348561.8,-49.15
935702199.7,-47.29
937055837.6,-47.95
938409475.5,-46.72
939763113.4,-52.55
941116751.3,-53.39
942470389.2,-54.03
943824027.1,-48.98
945177665.0,-50.42
946531302.9,-50.82
947884940.8,-48.35
949238578.7,-50.37
950592216.6,-59.19
951945854.5,-59.55
953299492.4,-63.47
954653130.3,-68.54
956006768.2,-68.07
957360406.1,-67.74
958714044.0,-64.42
960067681.9,-65.13
961421319.8,-72.87
962774957.7,-76.03
964128595.6,-76.08
965482233.5,-76.38
966835871.4,-75.87
968189509.3,-75.67
969543147.2,-76.92
970896785.1,-76.22
972250423.0,-75.57
973604060.9,-75.73
974957698.8,-75.94
976311336.7,-75.92
977664974.6,-75.99
979018612.5,-75.85
980372250.4,-74.17
981725888.3,-76.51
983079526.2,-77.00
984433164.1,-75.81
985786802.0,-75.78
987140439.9,-76.52
988494077.8,-76.79
989847715.7,-75.76
991201353.6,-75.93
992554991.5,-75.59
993908629.4,-77.42
995262267.3,-76.36
996615905.2,-76.36
997969543.1,-77.74
999323181.0,-76.77
1000676819.0,-77.52
1002030456.9,-76.97
1003384094.8,-77.35
1004737732.7,-77.93
1006091370.6,-78.48
1007445008.5,-77.44
1008798646.4,-77.04
1010152284.3,-77.76
1011505922.2,-76.66
1012859560.1,-78.12
1014213198.0,-77.79
1015566835.9,-77.76
1016920473.8,-77.67
1018274111.7,-76.64
1019627749.6,-75.98
1020981387.5,-77.36
1022335025.4,-77.57
1023688663.3,-77.83
1025042301.2,-77.76
1026395939.1,-76.74
1027749577.0,-77.12
1029103214.9,-77.91
1030456852.8,-76.67
1031810490.7,-77.41
1033164128.6,-77.52
1034517766.5,-76.62
1035871404.4,-77.68
1037225042.3,-77.41
1038578680.2,-77.57
1039932318.1,-76.71
1041285956.0,-77.28
