Frequency in Hz,Power in dBm
600000000.0,-76.04
601353637.9,-76.68
602707275.8,-76.41
604060913.7,-76.02
605414551.6,-76.55
606768189.5,-75.70
608121827.4,-75.19
609475465.3,-74.08
610829103.2,-75.94
612182741.1,-74.88
613536379.0,-74.35
614890016.9,-76.55
616243654.8,-74.05
617597292.7,-75.96
618950930.6,-75.57
620304568.5,-74.69
621658206.4,-75.58
623011844.3,-73.89
624365482.2,-73.44
625719120.1,-73.71
627072758.0,-75.27
628426395.9,-75.11
629780033.8,-75.30
631133671.7,-75.67
632487309.6,-76.18
633840947.5,-76.57
635194585.4,-75.06
636548223.4,-75.55
637901861.3,-76.75
639255499.2,-74.99
640609137.1,-74.78
641962775.0,-76.06
643316412.9,-75.81
644670050.8,-74.50
646023688.7,-67.07
647377326.6,-63.20
648730964.5,-64.44
650084602.4,-64.19
651438240.3,-64.68
652791878.2,-65.47
654145516.1,-72.75
655499154.0,-75.63
656852791.9,-75.45
658206429.8,-74.67
659560067.7,-75.57
660913705.6,-74.85
662267343.5,-75.65
663620981.4,-75.79
664974619.3,-76.04
666328257.2,-74.25
667681895.1,-76.11
669035533.0,-75.31
670389170.9,-75.35
671742808.8,-76.19
673096446.7,-74.48
674450084.6,-75.81
675803722.5,-75.77
677157360.4,-74.57
678510998.3,-75.56
679864636.2,-75.88
681218274.1,-75.68
682571912.0,-75.98
683925549.9,-76.02
685279187.8,-75.92
686632825.7,-75.16
687986463.6,-76.02
689340101.5,-75.12
690693739.4,-75.35
692047377.3,-75.33
693401015.2,-75.83
694754653.1,-76.07
696108291.0,-75.29
697461928.9,-74.98
698815566.8,-75.03
700169204.7,-75.32
701522842.6,-75.92
702876480.5,-75.39
704230118.4,-75.77
705583756.3,-73.76
706937394.2,-75.88
708291032.1,-76.15
709644670.1,-74.54
710998308.0,-75.26
712351945.9,-75.01
713705583.8,-75.35
715059221.7,-75.32
716412859.6,-75.36
717766497.5,-75.46
719120135.4,-75.44
720473773.3,-75.17
721827411.2,-62.80
723181049.1,-59.41
724534687.0,-74.87
725888324.9,-73.66
727241962.8,-73.58
728595600.7,-75.14
729949238.6,-72.98
731302876.5,-63.76
732656514.4,-64.85
734010152.3,-71.79
735363790.2,-73.79
736717428.1,-74.75
738071066.0,-75.54
739424703.9,-75.15
740778341.8,-74.39
742131979.7,-73.04
743485617.6,-73.74
744839255.5,-75.20
746192893.4,-75.28
747546531.3,-74.92
748900169.2,-74.79
750253807.1,-75.27
751607445.0,-74.24
752961082.9,-75.38
754314720.8,-75.25
755668358.7,-75.22
757021996.6,-75.67
758375634.5,-75.74
759729272.4,-74.61
761082910.3,-75.63
762436548.2,-74.89
763790186.1,-75.26
765143824.0,-74.52
766497461.9,-75.13
767851099.8,-70.74
769204737.7,-66.53
770558375.6,-66.60
771912013.5,-68.81
773265651.4,-67.87
774619289.3,-62.96
775972927.2,-64.46
777326565.1,-49.32
778680203.0,-46.87
780033840.9,-48.73
781387478.8,-49.49
782741116.8,-50.01
784094754.7,-49.78
785448392.6,-47.40
786802030.5,-48.92
788155668.4,-56.62
789509306.3,-65.00
790862944.2,-51.13
792216582.1,-49.63
793570220.0,-47.90
794923857.9,-49.53
796277495.8,-49.18
797631133.7,-47.39
798984771.6,-48.61
800338409.5,-52.42
801692047.4,-50.76
803045685.3,-50.72
804399323.2,-51.08
805752961.1,-51.99
807106599.0,-50.88
808460236.9,-51.92
809813874.8,-53.04
811167512.7,-48.45
812521150.6,-44.71
813874788.5,-46.10
815228426.4,-47.92
816582064.3,-48.59
817935702.2,-48.96
819289340.1,-49.01
820642978.0,-53.21
821996615.9,-64.04
823350253.8,-71.87
824703891.7,-74.68
826057529.6,-74.25
827411167.5,-73.66
828764805.4,-73.58
830118443.3,-74.95
831472081.2,-75.13
832825719.1,-74.95
834179357.0,-74.72
835532994.9,-74.38
836886632.8,-74.92
838240270.7,-75.12
839593908.6,-74.86
840947546.5,-74.37
842301184.4,-74.54
843654822.3,-73.82
845008460.2,-74.84
846362098.1,-74.64
847715736.0,-74.53
849069373.9,-71.95
850423011.8,-74.08
851776649.7,-75.03
853130287.6,-72.80
854483925.5,-75.57
855837563.5,-75.16
857191201.4,-74.91
858544839.3,-73.86
859898477.2,-75.69
861252115.1,-74.04
862605753.0,-74.80
863959390.9,-74.10
865313028.8,-72.39
866666666.7,-72.40
868020304.6,-74.03
869373942.5,-74.02
870727580.4,-75.83
872081218.3,-75.37
873434856.2,-75.20
874788494.1,-74.85
876142132.0,-75.62
877495769.9,-75.04
878849407.8,-74.47
880203045.7,-75.53
881556683.6,-75.50
882910321.5,-74.21
884263959.4,-74.96
885617597.3,-74.46
886971235.2,-75.29
888324873.1,-73.76
889678511.0,-75.32
891032148.9,-74.83
892385786.8,-75.42
893739424.7,-75.04
895093062.6,-75.75
896446700.5,-75.52
897800338.4,-74.50
899153976.3,-73.75
900507614.2,-74.84
901861252.1,-73.93
903214890.0,-51.29
904568527.9,-20.40
905922165.8,-14.25
907275803.7,-15.61
908629441.6,-26.03
909983079.5,-35.06
911336717.4,-62.36
912690355.3,-75.66
914043993.2,-75.82
915397631.1,-75.61
916751269.0,-75.12
918104906.9,-75.35
919458544.8,-75.49
920812182.7,-74.76
922165820.6,-71.72
923519458.5,-71.68
924873096.4,-53.65
926226734.3,-53.35
927580372.3,-52.11
928934010.2,-52.59
930287648.1,-48.21
931641286.0,-46.54
932994923.9,-47.57
934348561.8,-46.92
935702199.7,-46.08
937055837.6,-42.96
938409475.5,-42.68
939763113.4,-50.53
941116751.3,-51.05
942470389.2,-50.90
943824027.1,-51.76
945177665.0,-56.87
946531302.9,-52.66
947884940.8,-48.84
949238578.7,-50.87
950592216.6,-58.63
951945854.5,-59.79
953299492.4,-62.69
954653130.3,-66.49
956006768.2,-63.78
957360406.1,-65.67
958714044.0,-67.76
960067681.9,-72.81
961421319.8,-76.05
962774957.7,-76.71
964128595.6,-75.61
965482233.5,-75.32
966835871.4,-76.33
968189509.3,-74.92
969543147.2,-76.22
970896785.1,-76.16
972250423.0,-75.97
973604060.9,-75.51
974957698.8,-75.18
976311336.7,-76.50
977664974.6,-76.39
979018612.5,-76.35
980372250.4,-76.47
981725888.3,-75.50
983079526.2,-76.54
984433164.1,-77.14
985786802.0,-76.49
987140439.9,-76.37
988494077.8,-76.46
989847715.7,-76.36
991201353.6,-77.24
992554991.5,-76.98
993908629.4,-77.35
995262267.3,-75.84
996615905.2,-77.23
997969543.1,-76.28
999323181.0,-75.68
1000676819.0,-77.75
1002030456.9,-77.27
1003384094.8,-77.15
1004737732.7,-78.01
1006091370.6,-77.64
1007445008.5,-76.62
1008798646.4,-76.89
1010152284.3,-77.53
1011505922.2,-76.53
1012859560.1,-77.82
1014213198.0,-76.98
1015566835.9,-77.79
1016920473.8,-77.83
1018274111.7,-75.90
1019627749.6,-76.79
1020981387.5,-77.22
1022335025.4,-76.96
1023688663.3,-76.85
1025042301.2,-78.01
1026395939.1,-76.91
1027749577.0,-77.73
1029103214.9,-78.21
1030456852.8,-77.33
1031810490.7,-77.06
1033164128.6,-77.92
1034517766.5,-76.51
1035871404.4,-77.65
1037225042.3,-77.04
1038578680.2,-77.37
1039932318.1,-77.10
1041285956.0,-77.42
1042639593.9,-77.53
1043993231.8,-76.18
1045346869.7,-77.83
1046700507.6,-77.42
1048054145.5,-77.64
1049407783.4,-78.12
1050761421.3,-77.47
1052115059.2,-76.64
1053468697.1,-77.91
1054822335.0,-77.11
1056175972.9,-78.00
1057529610.8,-78.25
1058883248.7,-77.64
1060236886.6,-77.27
1061590524.5,-78.61
1062944162.4,-78.17
1064297800.3,-77.53
1065651438.2,-77.87
1067005076.1,-77.65
1068358714.0,-76.52
1069712351.9,-77.13
1071065989.8,-77.95
1072419627.7,-76.93
1073773265.7,-78.08
1075126903.6,-77.64
1076480541.5,-77.77
1077834179.4,-77.74
1079187817.3,-77.85
1080541455.2,-77.28
1081895093.1,-77.73
1083248731.0,-78.07
1084602368.9,-77.94
1085956006.8,-77.78
1087309644.7,-78.86
1088663282.6,-77.56
1090016920.5,-76.12
1091370558.4,-76.81
1092724196.3,-77.57
1094077834.2,-77.34
1095431472.1,-77.31
1096785110.0,-77.23
1098138747.9,-77.03
1099492385.8,-76.71
1100846023.7,-77.20
1102199661.6,-77.84
1103553299.5,-77.74
1104906937.4,-77.49
1106260575.3,-78.22
1107614213.2,-76.87
1108967851.1,-78.29
1110321489.0,-77.92
1111675126.9,-77.32
1113028764.8,-78.35
1114382402.7,-77.57
1115736040.6,-75.89
1117089678.5,-77.78
1118443316.4,-77.72
1119796954.3,-77.90
1121150592.2,-76.99
1122504230.1,-77.58
1123857868.0,-77.46
1125211505.9,-78.05
1126565143.8,-78.37
1127918781.7,-77.67
1129272419.6,-77.30
1130626057.5,-76.96
1131979695.4,-78.34
1133333333.3,-77.02
1134686971.2,-77.56
1136040609.1,-77.16
1137394247.0,-77.57
1138747884.9,-76.64
1140101522.8,-77.41
1141455160.7,-78.36
1142808798.6,-77.54
1144162436.5,-78.47
1145516074.5,-77.43
1146869712.4,-78.43
1148223350.3,-77.97
1149576988.2,-77.76
1150930626.1,-78.21
1152284264.0,-61.42
1153637901.9,-77.32
1154991539.8,-78.11
1156345177.7,-76.44
1157698815.6,-77.82
1159052453.5,-78.43
1160406091.4,-77.43
1161759729.3,-77.94
1163113367.2,-76.15
1164467005.1,-76.91
1165820643.0,-77.72
1167174280.9,-77.86
1168527918.8,-77.46
1169881556.7,-77.57
1171235194.6,-77.74
1172588832.5,-77.19
1173942470.4,-77.37
1175296108.3,-76.72
1176649746.2,-77.73
1178003384.1,-78.16
1179357022.0,-77.32
1180710659.9,-77.78
1182064297.8,-77.69
1183417935.7,-77.10
1184771573.6,-76.75
1186125211.5,-77.51
1187478849.4,-76.82
1188832487.3,-77.65
1190186125.2,-76.79
1191539763.1,-77.23
1192893401.0,-77.31
1194247038.9,-79.21
1195600676.8,-78.17
1196954314.7,-77.58
1198307952.6,-78.03
1199661590.5,-77.18
1201015228.4,-77.36
1202368866.3,-77.46
1203722504.2,-78.02
1205076142.1,-77.22
1206429780.0,-77.09
1207783417.9,-77.09
1209137055.8,-77.14
1210490693.7,-78.27
1211844331.6,-77.94
1213197969.5,-78.17
1214551607.4,-77.16
1215905245.3,-76.75
1217258883.2,-75.32
1218612521.2,-76.18
1219966159.1,-75.43
1221319797.0,-75.75
1222673434.9,-75.98
1224027072.8,-77.04
1225380710.7,-75.97
1226734348.6,-76.96
1228087986.5,-76.12
1229441624.4,-77.93
1230795262.3,-76.88
1232148900.2,-77.72
1233502538.1,-77.19
1234856176.0,-77.85
1236209813.9,-77.08
1237563451.8,-77.66
1238917089.7,-78.65
1240270727.6,-78.27
1241624365.5,-77.77
1242978003.4,-76.95
1244331641.3,-76.69
1245685279.2,-76.95
1247038917.1,-77.37
1248392555.0,-77.51
1249746192.9,-77.60
1251099830.8,-77.26
1252453468.7,-76.87
1253807106.6,-77.51
1255160744.5,-77.73
1256514382.4,-78.19
1257868020.3,-76.54
1259221658.2,-77.19
1260575296.1,-78.02
1261928934.0,-77.97
1263282571.9,-77.27
1264636209.8,-78.24
1265989847.7,-78.33
1267343485.6,-76.84
1268697123.5,-76.88
1270050761.4,-77.97
1271404399.3,-77.70
1272758037.2,-76.15
1274111675.1,-78.06
1275465313.0,-77.97
1276818950.9,-77.44
1278172588.8,-77.81
1279526226.7,-77.04
1280879864.6,-77.59
1282233502.5,-77.19
1283587140.4,-77.37
1284940778.3,-78.27
1286294416.2,-78.01
1287648054.1,-77.46
1289001692.0,-77.25
1290355329.9,-77.98
1291708967.9,-76.90
1293062605.8,-77.46
1294416243.7,-76.72
1295769881.6,-77.56
1297123519.5,-78.71
1298477157.4,-77.18
1299830795.3,-75.59
1301184433.2,-77.35
1302538071.1,-77.05
1303891709.0,-76.74
1305245346.9,-76.88
1306598984.8,-76.85
1307952622.7,-77.30
1309306260.6,-77.20
1310659898.5,-77.21
1312013536.4,-76.95
1313367174.3,-77.94
1314720812.2,-76.62
1316074450.1,-77.99
1317428088.0,-76.87
1318781725.9,-77.41
1320135363.8,-77.14
1321489001.7,-76.32
1322842639.6,-77.25
1324196277.5,-77.92
1325549915.4,-76.60
1326903553.3,-78.05
1328257191.2,-76.43
1329610829.1,-77.24
1330964467.0,-77.73
1332318104.9,-77.08
1333671742.8,-77.21
1335025380.7,-77.94
1336379018.6,-74.58
1337732656.5,-76.54
1339086294.4,-77.28
1340439932.3,-76.93
1341793570.2,-77.22
1343147208.1,-78.04
1344500846.0,-77.30
1345854483.9,-77.12
1347208121.8,-73.55
1348561759.7,-77.65
1349915397.6,-77.54
1351269035.5,-76.27
1352622673.4,-77.71
1353976311.3,-77.97
1355329949.2,-76.80
1356683587.1,-76.88
1358037225.0,-77.75
1359390862.9,-77.68
1360744500.8,-78.09
1362098138.7,-77.89
1363451776.6,-76.71
1364805414.6,-76.62
1366159052.5,-76.45
1367512690.4,-78.00
1368866328.3,-78.07
1370219966.2,-76.47
1371573604.1,-76.23
1372927242.0,-77.17
1374280879.9,-77.28
1375634517.8,-76.76
1376988155.7,-77.61
1378341793.6,-77.38
1379695431.5,-77.97
1381049069.4,-76.55
1382402707.3,-77.90
1383756345.2,-77.56
1385109983.1,-77.35
1386463621.0,-76.81
1387817258.9,-77.74
1389170896.8,-77.93
1390524534.7,-76.53
1391878172.6,-76.75
1393231810.5,-76.95
1394585448.4,-77.17
1395939086.3,-77.03
1397292724.2,-76.73
1398646362.1,-76.94
1400000000.0,-77.33
1401353637.9,-77.56
1402707275.8,-77.31
1404060913.7,-77.96
1405414551.6,-77.26
1406768189.5,-76.96
1408121827.4,-77.17
1409475465.3,-77.59
1410829103.2,-75.23
1412182741.1,-77.09
1413536379.0,-77.18
1414890016.9,-77.00
1416243654.8,-76.56
1417597292.7,-77.65
1418950930.6,-77.50
1420304568.5,-76.88
1421658206.4,-77.61
1423011844.3,-77.09
1424365482.2,-76.59
1425719120.1,-77.49
1427072758.0,-77.72
1428426395.9,-76.79
1429780033.8,-75.31
1431133671.7,-77.52
1432487309.6,-77.03
1433840947.5,-77.60
1435194585.4,-76.98
1436548223.4,-77.49
1437901861.3,-78.45
1439255499.2,-77.07
1440609137.1,-77.55
1441962775.0,-75.99
1443316412.9,-77.25
1444670050.8,-77.40
1446023688.7,-76.45
1447377326.6,-77.10
1448730964.5,-76.75
1450084602.4,-77.55
1451438240.3,-77.82
1452791878.2,-77.70
1454145516.1,-76.61
1455499154.0,-77.28
1456852791.9,-77.14
1458206429.8,-76.45
1459560067.7,-77.48
1460913705.6,-76.71
1462267343.5,-76.84
1463620981.4,-77.31
1464974619.3,-76.91
1466328257.2,-77.12
1467681895.1,-76.74
1469035533.0,-76.01
1470389170.9,-77.14
1471742808.8,-75.60
1473096446.7,-76.84
1474450084.6,-76.95
1475803722.5,-77.54
1477157360.4,-77.38
1478510998.3,-77.49
1479864636.2,-77.31
1481218274.1,-76.36
1482571912.0,-77.40
1483925549.9,-76.69
1485279187.8,-77.39
1486632825.7,-77.04
1487986463.6,-77.77
1489340101.5,-77.26
1490693739.4,-77.71
1492047377.3,-78.10
1493401015.2,-77.61
1494754653.1,-75.98
1496108291.0,-77.69
1497461928.9,-77.60
1498815566.8,-77.39
1500169204.7,-76.73
1501522842.6,-76.90
1502876480.5,-77.40
1504230118.4,-77.58
1505583756.3,-77.57
1506937394.2,-77.67
1508291032.1,-76.84
1509644670.1,-77.14
1510998308.0,-77.23
1512351945.9,-76.88
1513705583.8,-77.47
1515059221.7,-77.61
1516412859.6,-76.50
1517766497.5,-77.86
1519120135.4,-77.85
1520473773.3,-78.04
1521827411.2,-76.69
1523181049.1,-77.23
1524534687.0,-77.24
1525888324.9,-75.53
1527241962.8,-77.31
1528595600.7,-76.78
1529949238.6,-77.05
1531302876.5,-77.22
1532656514.4,-76.32
1534010152.3,-76.45
1535363790.2,-77.94
1536717428.1,-76.38
1538071066.0,-77.32
1539424703.9,-76.78
1540778341.8,-76.81
1542131979.7,-77.35
1543485617.6,-77.14
1544839255.5,-77.30
1546192893.4,-77.50
1547546531.3,-77.34
1548900169.2,-77.84
1550253807.1,-77.20
1551607445.0,-77.10
1552961082.9,-77.07
1554314720.8,-77.00
1555668358.7,-77.26
1557021996.6,-76.04
1558375634.5,-77.70
1559729272.4,-77.60
1561082910.3,-77.13
1562436548.2,-76.46
1563790186.1,-76.82
1565143824.0,-77.97
1566497461.9,-76.54
1567851099.8,-78.04
1569204737.7,-77.65
1570558375.6,-77.54
1571912013.5,-77.43
1573265651.4,-76.29
1574619289.3,-75.15
1575972927.2,-76.34
1577326565.1,-76.44
1578680203.0,-77.46
1580033840.9,-77.00
1581387478.8,-76.31
1582741116.8,-77.21
1584094754.7,-77.30
1585448392.6,-77.61
1586802030.5,-76.49
1588155668.4,-75.78
1589509306.3,-77.18
1590862944.2,-77.43
1592216582.1,-77.01
1593570220.0,-77.28
1594923857.9,-77.64
1596277495.8,-77.55
1597631133.7,-76.00
1598984771.6,-77.13
1600338409.5,-77.02
1601692047.4,-76.99
1603045685.3,-76.68
1604399323.2,-77.54
1605752961.1,-77.01
1607106599.0,-77.33
1608460236.9,-76.22
1609813874.8,-77.38
1611167512.7,-76.81
1612521150.6,-76.99
1613874788.5,-76.50
1615228426.4,-77.46
1616582064.3,-76.91
1617935702.2,-76.51
1619289340.1,-76.31
1620642978.0,-76.71
1621996615.9,-76.14
1623350253.8,-77.17
1624703891.7,-77.34
1626057529.6,-76.32
1627411167.5,-75.88
1628764805.4,-76.06
1630118443.3,-76.90
1631472081.2,-75.46
1632825719.1,-76.45
1634179357.0,-76.66
1635532994.9,-76.46
1636886632.8,-77.44
1638240270.7,-76.63
1639593908.6,-77.18
1640947546.5,-75.82
1642301184.4,-76.89
1643654822.3,-76.40
1645008460.2,-75.89
1646362098.1,-77.39
1647715736.0,-76.50
1649069373.9,-76.62
1650423011.8,-76.39
1651776649.7,-76.75
1653130287.6,-76.73
1654483925.5,-76.48
1655837563.5,-77.08
1657191201.4,-77.15
1658544839.3,-76.54
1659898477.2,-76.81
