Frequency in Hz,Power in dBm
600000000.0,-76.27
601353637.9,-76.13
602707275.8,-76.06
604060913.7,-75.36
605414551.6,-77.01
606768189.5,-74.98
608121827.4,-75.51
609475465.3,-75.04
610829103.2,-74.41
612182741.1,-75.10
613536379.0,-74.87
614890016.9,-75.87
616243654.8,-75.97
617597292.7,-76.18
618950930.6,-75.49
620304568.5,-74.48
621658206.4,-75.08
623011844.3,-74.89
624365482.2,-74.46
625719120.1,-74.04
627072758.0,-74.97
628426395.9,-75.93
629780033.8,-74.46
631133671.7,-75.13
632487309.6,-75.87
633840947.5,-76.36
635194585.4,-75.72
636548223.4,-75.71
637901861.3,-74.11
639255499.2,-75.86
640609137.1,-74.67
641962775.0,-75.69
643316412.9,-76.57
644670050.8,-74.11
646023688.7,-68.94
647377326.6,-65.38
648730964.5,-66.09
650084602.4,-62.71
651438240.3,-63.22
652791878.2,-67.14
654145516.1,-72.09
655499154.0,-73.35
656852791.9,-75.02
658206429.8,-76.86
659560067.7,-74.81
660913705.6,-75.07
662267343.5,-76.05
663620981.4,-76.73
664974619.3,-75.57
666328257.2,-76.01
667681895.1,-75.62
669035533.0,-73.56
670389170.9,-76.70
671742808.8,-75.24
673096446.7,-76.30
674450084.6,-75.97
675803722.5,-75.78
677157360.4,-75.75
678510998.3,-75.47
679864636.2,-76.56
681218274.1,-74.40
682571912.0,-75.53
683925549.9,-74.51
685279187.8,-75.65
686632825.7,-75.49
687986463.6,-75.37
689340101.5,-74.79
690693739.4,-75.77
692047377.3,-75.95
693401015.2,-75.61
694754653.1,-75.42
696108291.0,-75.47
697461928.9,-74.15
698815566.8,-75.27
700169204.7,-75.06
701522842.6,-74.05
702876480.5,-75.60
704230118.4,-76.17
705583756.3,-76.48
706937394.2,-73.51
708291032.1,-75.70
709644670.1,-75.65
710998308.0,-75.79
712351945.9,-74.34
713705583.8,-75.85
715059221.7,-75.22
716412859.6,-74.87
717766497.5,-76.01
719120135.4,-75.44
720473773.3,-75.42
721827411.2,-76.62
723181049.1,-73.88
724534687.0,-75.08
725888324.9,-75.68
727241962.8,-75.72
728595600.7,-75.92
729949238.6,-75.43
731302876.5,-76.12
732656514.4,-75.76
734010152.3,-75.41
735363790.2,-73.47
736717428.1,-75.33
738071066.0,-75.13
739424703.9,-74.73
740778341.8,-74.72
742131979.7,-73.34
743485617.6,-75.10
744839255.5,-75.70
746192893.4,-75.41
747546531.3,-74.01
748900169.2,-75.23
750253807.1,-75.55
751607445.0,-75.23
752961082.9,-74.98
754314720.8,-74.76
755668358.7,-75.30
757021996.6,-74.20
758375634.5,-75.84
759729272.4,-74.70
761082910.3,-74.81
762436548.2,-74.67
763790186.1,-74.65
765143824.0,-74.77
766497461.9,-72.62
767851099.8,-63.59
769204737.7,-62.68
770558375.6,-65.11
771912013.5,-66.27
773265651.4,-65.11
774619289.3,-62.57
775972927.2,-63.26
777326565.1,-52.61
778680203.0,-45.91
780033840.9,-47.72
781387478.8,-46.94
782741116.8,-47.70
784094754.7,-47.42
785448392.6,-45.38
786802030.5,-48.61
788155668.4,-56.34
789509306.3,-62.41
790862944.2,-53.69
792216582.1,-51.34
793570220.0,-50.46
794923857.9,-49.19
796277495.8,-51.26
797631133.7,-49.54
798984771.6,-46.71
800338409.5,-51.38
801692047.4,-52.40
803045685.3,-51.12
804399323.2,-52.45
805752961.1,-52.03
807106599.0,-52.05
808460236.9,-52.29
809813874.8,-53.14
811167512.7,-48.07
812521150.6,-46.94
813874788.5,-47.86
815228426.4,-49.30
816582064.3,-48.09
817935702.2,-48.96
819289340.1,-51.95
820642978.0,-57.25
821996615.9,-68.18
823350253.8,-73.51
824703891.7,-75.96
826057529.6,-73.30
827411167.5,-74.41
828764805.4,-73.41
