Frequency in Hz,Power in dBm
600000000.0,-75.68
601353637.9,-75.05
602707275.8,-77.27
604060913.7,-76.36
605414551.6,-75.87
606768189.5,-75.49
608121827.4,-75.08
609475465.3,-75.70
610829103.2,-76.25
612182741.1,-74.67
613536379.0,-74.64
614890016.9,-76.17
616243654.8,-76.09
617597292.7,-75.91
618950930.6,-74.69
620304568.5,-74.54
621658206.4,-75.71
623011844.3,-74.02
624365482.2,-73.38
625719120.1,-74.73
627072758.0,-74.84
628426395.9,-73.97
629780033.8,-76.17
631133671.7,-76.13
632487309.6,-76.04
633840947.5,-75.06
635194585.4,-75.68
636548223.4,-75.34
637901861.3,-75.14
639255499.2,-75.08
640609137.1,-75.35
641962775.0,-75.51
643316412.9,-75.63
644670050.8,-72.54
646023688.7,-66.14
647377326.6,-63.98
648730964.5,-62.50
650084602.4,-62.91
651438240.3,-62.82
652791878.2,-64.18
654145516.1,-69.34
655499154.0,-76.28
656852791.9,-76.16
658206429.8,-74.78
659560067.7,-75.36
660913705.6,-74.74
662267343.5,-74.75
663620981.4,-75.75
664974619.3,-75.99
666328257.2,-75.97
667681895.1,-75.16
669035533.0,-75.56
670389170.9,-75.39
671742808.8,-74.93
673096446.7,-75.60
674450084.6,-75.97
675803722.5,-75.05
677157360.4,-75.67
678510998.3,-76.02
679864636.2,-75.68
681218274.1,-74.58
682571912.0,-76.66
683925549.9,-76.02
685279187.8,-75.13
686632825.7,-75.26
687986463.6,-75.85
689340101.5,-75.92
690693739.4,-75.54
692047377.3,-75.49
693401015.2,-75.83
694754653.1,-74.46
696108291.0,-75.65
697461928.9,-74.81
698815566.8,-75.55
700169204.7,-75.18
701522842.6,-75.52
702876480.5,-75.29
704230118.4,-75.39
705583756.3,-76.29
706937394.2,-74.97
708291032.1,-75.07
709644670.1,-75.74
710998308.0,-76.15
712351945.9,-74.85
713705583.8,-74.10
715059221.7,-74.51
716412859.6,-76.05
717766497.5,-75.68
719120135.4,-73.45
720473773.3,-75.91
721827411.2,-74.94
723181049.1,-74.50
724534687.0,-74.24
725888324.9,-74.46
727241962.8,-75.81
728595600.7,-74.87
729949238.6,-76.20
731302876.5,-75.55
732656514.4,-75.87
734010152.3,-75.63
735363790.2,-74.72
736717428.1,-75.16
738071066.0,-75.18
739424703.9,-75.07
740778341.8,-74.68
742131979.7,-74.07
743485617.6,-74.79
744839255.5,-75.09
746192893.4,-74.97
747546531.3,-74.19
748900169.2,-74.69
750253807.1,-75.17
751607445.0,-75.38
752961082.9,-74.46
754314720.8,-75.10
755668358.7,-74.85
757021996.6,-74.33
758375634.5,-74.80
759729272.4,-75.32
761082910.3,-74.23
762436548.2,-73.49
763790186.1,-74.22
765143824.0,-74.15
766497461.9,-74.18
767851099.8,-69.31
769204737.7,-66.50
770558375.6,-69.42
771912013.5,-70.22
773265651.4,-66.67
774619289.3,-65.36
775972927.2,-65.19
777326565.1,-52.39
778680203.0,-45.38
780033840.9,-47.40
781387478.8,-47.34
782741116.8,-46.91
784094754.7,-46.57
785448392.6,-44.19
786802030.5,-46.39
788155668.4,-54.39
789509306.3,-63.07
790862944.2,-53.57
792216582.1,-51.55
793570220.0,-49.49
794923857.9,-48.78
796277495.8,-49.30
797631133.7,-48.48
798984771.6,-47.42
800338409.5,-51.24
801692047.4,-50.23
803045685.3,-49.17
804399323.2,-52.12
805752961.1,-52.31
807106599.0,-52.55
808460236.9,-52.71
809813874.8,-53.09
811167512.7,-48.56
812521150.6,-48.54
813874788.5,-48.32
815228426.4,-50.38
816582064.3,-49.23
817935702.2,-48.15
819289340.1,-50.58
820642978.0,-50.98
821996615.9,-64.22
823350253.8,-72.79
824703891.7,-75.63
826057529.6,-75.77
827411167.5,-74.25
828764805.4,-75.64
830118443.3,-74.42
831472081.2,-75.45
832825719.1,-74.73
834179357.0,-74.00
835532994.9,-74.91
836886632.8,-76.31
838240270.7,-74.50
839593908.6,-74.37
840947546.5,-74.95
842301184.4,-74.51
843654822.3,-75.25
845008460.2,-74.47
846362098.1,-75.08
847715736.0,-74.56
849069373.9,-74.76
850423011.8,-74.96
851776649.7,-74.28
853130287.6,-74.91
854483925.5,-74.18
855837563.5,-75.72
857191201.4,-74.61
858544839.3,-74.49
859898477.2,-75.13
861252115.1,-73.37
862605753.0,-76.34
863959390.9,-75.26
865313028.8,-73.58
866666666.7,-73.15
868020304.6,-75.06
869373942.5,-72.90
870727580.4,-75.02
872081218.3,-75.08
873434856.2,-73.48
874788494.1,-74.93
876142132.0,-75.70
877495769.9,-74.28
878849407.8,-76.12
880203045.7,-75.13
881556683.6,-75.55
882910321.5,-76.09
884263959.4,-74.75
885617597.3,-74.74
886971235.2,-75.48
888324873.1,-74.94
889678511.0,-75.25
891032148.9,-74.91
892385786.8,-75.05
893739424.7,-76.08
895093062.6,-75.40
896446700.5,-75.45
897800338.4,-74.50
899153976.3,-75.24
900507614.2,-74.88
901861252.1,-75.49
903214890.0,-53.13
904568527.9,-20.91
905922165.8,-14.83
907275803.7,-16.31
908629441.6,-26.18
909983079.5,-36.64
911336717.4,-62.33
912690355.3,-74.80
914043993.2,-75.35
915397631.1,-74.68
916751269.0,-74.59
918104906.9,-75.84
919458544.8,-74.47
920812182.7,-74.40
922165820.6,-71.95
923519458.5,-69.18
924873096.4,-55.49
926226734.3,-54.09
927580372.3,-53.26
928934010.2,-52.82
930287648.1,-48.96
931641286.0,-47.36
932994923.9,-48.66
934348561.8,-47.80
935702199.7,-45.19
937055837.6,-43.95
938409475.5,-46.49
939763113.4,-48.46
941116751.3,-50.95
942470389.2,-54.95
943824027.1,-51.26
945177665.0,-50.70
946531302.9,-53.83
