Frequency in Hz,Power in dBm
600000000.0,-76.77
601353637.9,-75.88
602707275.8,-75.83
604060913.7,-76.18
605414551.6,-75.87
606768189.5,-75.28
608121827.4,-74.21
609475465.3,-71.70
610829103.2,-74.37
612182741.1,-74.47
613536379.0,-73.81
614890016.9,-76.36
616243654.8,-75.91
617597292.7,-76.29
618950930.6,-75.75
620304568.5,-74.51
621658206.4,-75.40
623011844.3,-75.12
624365482.2,-74.12
625719120.1,-75.49
627072758.0,-74.00
628426395.9,-76.15
629780033.8,-74.48
631133671.7,-74.94
632487309.6,-76.12
633840947.5,-75.73
635194585.4,-76.52
636548223.4,-76.15
637901861.3,-75.39
639255499.2,-75.54
640609137.1,-75.78
641962775.0,-73.96
643316412.9,-75.38
644670050.8,-72.50
646023688.7,-67.09
647377326.6,-62.54
648730964.5,-61.80
650084602.4,-62.53
651438240.3,-62.11
652791878.2,-65.88
654145516.1,-72.30
655499154.0,-75.18
656852791.9,-75.97
658206429.8,-76.02
659560067.7,-75.20
660913705.6,-75.81
662267343.5,-75.12
663620981.4,-75.56
664974619.3,-76.53
666328257.2,-75.86
667681895.1,-76.39
669035533.0,-75.51
670389170.9,-76.37
671742808.8,-76.48
673096446.7,-75.88
674450084.6,-75.19
675803722.5,-75.60
677157360.4,-76.30
678510998.3,-75.41
679864636.2,-75.33
681218274.1,-75.52
682571912.0,-75.44
683925549.9,-75.88
685279187.8,-75.46
686632825.7,-75.36
687986463.6,-74.86
689340101.5,-75.06
690693739.4,-74.53
692047377.3,-74.78
693401015.2,-75.80
694754653.1,-75.27
696108291.0,-74.27
697461928.9,-75.10
698815566.8,-75.70
700169204.7,-74.81
701522842.6,-73.81
702876480.5,-75.73
704230118.4,-75.72
705583756.3,-73.32
706937394.2,-75.24
708291032.1,-76.37
709644670.1,-75.53
710998308.0,-74.22
712351945.9,-75.24
713705583.8,-74.31
715059221.7,-75.28
716412859.6,-75.64
717766497.5,-75.55
719120135.4,-75.46
720473773.3,-74.83
721827411.2,-75.66
723181049.1,-74.32
724534687.0,-56.70
725888324.9,-56.53
727241962.8,-61.94
728595600.7,-69.42
729949238.6,-75.53
731302876.5,-75.10
732656514.4,-75.44
734010152.3,-75.84
735363790.2,-75.06
736717428.1,-74.96
738071066.0,-75.22
739424703.9,-75.83
740778341.8,-74.41
742131979.7,-74.76
743485617.6,-73.46
744839255.5,-74.31
746192893.4,-75.65
747546531.3,-75.17
748900169.2,-75.88
750253807.1,-74.95
751607445.0,-75.09
752961082.9,-75.00
754314720.8,-74.89
755668358.7,-74.74
757021996.6,-73.86
758375634.5,-75.53
759729272.4,-73.94
761082910.3,-75.37
762436548.2,-74.79
763790186.1,-74.98
765143824.0,-74.12
766497461.9,-74.07
767851099.8,-67.43
769204737.7,-65.67
770558375.6,-69.36
771912013.5,-67.98
773265651.4,-67.48
774619289.3,-62.47
775972927.2,-63.85
777326565.1,-54.76
778680203.0,-49.04
780033840.9,-50.41
781387478.8,-49.11
782741116.8,-48.48
784094754.7,-47.69
785448392.6,-50.36
786802030.5,-54.42
788155668.4,-56.92
789509306.3,-68.11
790862944.2,-55.20
792216582.1,-51.11
793570220.0,-52.45
794923857.9,-51.58
796277495.8,-51.39
797631133.7,-50.31
798984771.6,-49.38
800338409.5,-49.69
801692047.4,-52.26
803045685.3,-52.78
804399323.2,-54.28
805752961.1,-54.56
807106599.0,-54.51
808460236.9,-54.92
809813874.8,-56.21
811167512.7,-47.43
812521150.6,-47.01
813874788.5,-45.73
815228426.4,-47.98
816582064.3,-50.36
817935702.2,-49.44
819289340.1,-49.90
820642978.0,-55.57
821996615.9,-61.96
823350253.8,-73.17
824703891.7,-75.38
826057529.6,-74.21
827411167.5,-71.98
828764805.4,-74.18
830118443.3,-74.95
831472081.2,-74.07
832825719.1,-74.71
834179357.0,-73.91
835532994.9,-75.16
836886632.8,-74.53
838240270.7,-74.63
