Frequency in Hz,Power in dBm
600000000.0,-76.29
601353637.9,-76.45
602707275.8,-76.72
604060913.7,-75.13
605414551.6,-76.11
606768189.5,-72.58
608121827.4,-72.91
609475465.3,-73.44
610829103.2,-73.86
612182741.1,-74.26
613536379.0,-75.48
614890016.9,-75.58
616243654.8,-74.77
617597292.7,-75.62
618950930.6,-74.42
620304568.5,-75.45
621658206.4,-75.10
623011844.3,-74.41
624365482.2,-74.47
625719120.1,-73.82
627072758.0,-73.97
628426395.9,-75.41
629780033.8,-75.47
631133671.7,-75.52
632487309.6,-76.01
633840947.5,-75.96
635194585.4,-75.06
636548223.4,-74.99
637901861.3,-74.62
639255499.2,-75.84
640609137.1,-75.36
641962775.0,-75.87
643316412.9,-75.91
644670050.8,-74.13
646023688.7,-65.81
647377326.6,-62.21
648730964.5,-60.06
650084602.4,-60.74
651438240.3,-59.40
652791878.2,-62.95
654145516.1,-69.88
655499154.0,-74.79
656852791.9,-75.97
658206429.8,-74.85
659560067.7,-76.10
660913705.6,-76.14
662267343.5,-75.69
663620981.4,-75.01
664974619.3,-75.82
666328257.2,-74.01
667681895.1,-75.12
669035533.0,-74.99
670389170.9,-75.80
671742808.8,-74.82
673096446.7,-75.64
674450084.6,-75.31
675803722.5,-76.55
677157360.4,-76.65
678510998.3,-75.35
679864636.2,-75.42
681218274.1,-74.55
682571912.0,-75.41
683925549.9,-75.46
685279187.8,-75.81
686632825.7,-74.61
687986463.6,-75.47
689340101.5,-75.14
690693739.4,-75.20
692047377.3,-74.80
693401015.2,-75.47
694754653.1,-74.61
696108291.0,-74.44
697461928.9,-75.22
698815566.8,-74.66
700169204.7,-75.91
701522842.6,-75.10
702876480.5,-75.23
704230118.4,-74.69
705583756.3,-76.23
706937394.2,-75.84
708291032.1,-76.24
709644670.1,-76.04
710998308.0,-73.39
712351945.9,-75.11
713705583.8,-74.01
715059221.7,-75.03
716412859.6,-74.48
717766497.5,-76.14
719120135.4,-75.86
720473773.3,-75.88
721827411.2,-74.75
723181049.1,-75.31
724534687.0,-75.19
725888324.9,-74.57
727241962.8,-75.38
728595600.7,-75.23
729949238.6,-75.56
731302876.5,-75.71
732656514.4,-76.03
734010152.3,-76.19
735363790.2,-73.29
736717428.1,-74.67
738071066.0,-74.60
739424703.9,-74.50
740778341.8,-74.28
742131979.7,-74.51
743485617.6,-75.42
744839255.5,-75.08
746192893.4,-75.05
747546531.3,-74.35
748900169.2,-75.39
750253807.1,-75.20
751607445.0,-75.85
752961082.9,-74.57
754314720.8,-75.59
755668358.7,-74.91
757021996.6,-73.98
758375634.5,-75.72
759729272.4,-73.85
761082910.3,-72.50
762436548.2,-74.53
763790186.1,-74.63
765143824.0,-74.75
766497461.9,-75.11
767851099.8,-68.86
769204737.7,-64.19
770558375.6,-64.30
771912013.5,-64.74
773265651.4,-66.14
774619289.3,-62.64
775972927.2,-65.05
777326565.1,-52.93
778680203.0,-48.14
780033840.9,-47.38
781387478.8,-49.46
782741116.8,-51.46
784094754.7,-47.60
785448392.6,-48.85
786802030.5,-50.05
788155668.4,-57.70
789509306.3,-66.85
790862944.2,-58.21
792216582.1,-53.35
793570220.0,-53.29
794923857.9,-50.26
796277495.8,-53.10
797631133.7,-51.36
798984771.6,-49.38
800338409.5,-51.31
801692047.4,-53.76
803045685.3,-52.90
804399323.2,-53.81
805752961.1,-54.38
807106599.0,-54.17
808460236.9,-55.66
809813874.8,-56.81
811167512.7,-47.80
812521150.6,-46.61
813874788.5,-46.04
815228426.4,-47.30
816582064.3,-49.25
817935702.2,-49.83
819289340.1,-51.81
820642978.0,-54.61
821996615.9,-64.24
823350253.8,-72.08
824703891.7,-74.44
826057529.6,-74.75
