Frequency in Hz,Power in dBm
600000000.0,-76.17
601353637.9,-76.35
602707275.8,-74.91
604060913.7,-76.41
605414551.6,-76.46
606768189.5,-74.91
608121827.4,-75.05
609475465.3,-74.53
610829103.2,-73.70
612182741.1,-75.10
613536379.0,-74.58
614890016.9,-75.91
616243654.8,-76.40
617597292.7,-75.28
618950930.6,-75.73
620304568.5,-73.63
621658206.4,-75.37
623011844.3,-74.55
624365482.2,-72.59
625719120.1,-75.22
627072758.0,-74.59
628426395.9,-74.50
629780033.8,-73.91
631133671.7,-74.53
632487309.6,-75.20
633840947.5,-75.76
635194585.4,-75.28
636548223.4,-75.15
637901861.3,-75.52
639255499.2,-75.47
640609137.1,-74.68
641962775.0,-76.01
643316412.9,-75.43
644670050.8,-72.88
646023688.7,-67.09
647377326.6,-61.49
648730964.5,-62.42
650084602.4,-60.95
651438240.3,-62.21
652791878.2,-64.68
654145516.1,-70.52
655499154.0,-76.02
656852791.9,-75.50
658206429.8,-74.85
659560067.7,-75.50
660913705.6,-75.79
662267343.5,-75.88
663620981.4,-75.64
664974619.3,-76.39
666328257.2,-75.38
667681895.1,-75.69
669035533.0,-75.27
670389170.9,-75.84
671742808.8,-76.25
673096446.7,-74.76
674450084.6,-75.79
675803722.5,-76.05
677157360.4,-75.23
678510998.3,-74.91
679864636.2,-76.63
681218274.1,-76.25
682571912.0,-75.37
683925549.9,-75.95
685279187.8,-74.85
686632825.7,-75.90
687986463.6,-75.00
689340101.5,-75.70
690693739.4,-75.78
692047377.3,-75.60
693401015.2,-75.61
694754653.1,-75.35
696108291.0,-75.20
697461928.9,-75.19
698815566.8,-75.02
700169204.7,-74.93
701522842.6,-75.70
702876480.5,-74.00
704230118.4,-76.20
705583756.3,-75.21
706937394.2,-75.10
708291032.1,-75.70
709644670.1,-75.05
710998308.0,-74.11
712351945.9,-76.42
713705583.8,-72.99
715059221.7,-75.34
716412859.6,-75.22
717766497.5,-73.58
719120135.4,-75.65
720473773.3,-74.93
721827411.2,-73.81
723181049.1,-75.50
724534687.0,-74.94
725888324.9,-75.50
727241962.8,-75.91
728595600.7,-74.99
729949238.6,-74.78
731302876.5,-75.65
732656514.4,-73.84
734010152.3,-74.74
735363790.2,-73.71
736717428.1,-73.94
738071066.0,-75.22
739424703.9,-75.50
740778341.8,-75.66
742131979.7,-74.55
743485617.6,-74.17
744839255.5,-75.05
746192893.4,-76.09
747546531.3,-75.61
748900169.2,-75.23
750253807.1,-75.07
751607445.0,-75.96
752961082.9,-75.42
754314720.8,-74.18
755668358.7,-75.02
757021996.6,-75.67
758375634.5,-74.50
759729272.4,-74.62
761082910.3,-75.06
762436548.2,-75.42
763790186.1,-74.34
765143824.0,-75.12
766497461.9,-74.94
767851099.8,-69.66
769204737.7,-67.87
770558375.6,-70.12
771912013.5,-70.35
773265651.4,-65.26
774619289.3,-63.05
775972927.2,-62.83
777326565.1,-53.70
778680203.0,-49.77
780033840.9,-49.00
781387478.8,-47.80
782741116.8,-48.05
784094754.7,-47.75
785448392.6,-47.79
786802030.5,-47.44
788155668.4,-57.33
789509306.3,-64.93
790862944.2,-53.98
792216582.1,-50.67
793570220.0,-51.69
794923857.9,-52.08
796277495.8,-52.00
797631133.7,-51.50
798984771.6,-48.61
800338409.5,-51.00
801692047.4,-52.47
803045685.3,-52.66
804399323.2,-51.87
805752961.1,-51.93
807106599.0,-51.98
808460236.9,-53.96
809813874.8,-55.14
811167512.7,-48.65
812521150.6,-46.69
813874788.5,-46.33
815228426.4,-47.08
816582064.3,-48.32
817935702.2,-46.89
819289340.1,-50.30
820642978.0,-54.22
821996615.9,-64.70
823350253.8,-74.04
824703891.7,-73.56
826057529.6,-74.83
827411167.5,-74.71
828764805.4,-75.07
830118443.3,-75.64
831472081.2,-73.37
832825719.1,-66.09
834179357.0,-66.41
835532994.9,-74.37
836886632.8,-74.80
838240270.7,-74.33
839593908.6,-75.12
840947546.5,-75.21
842301184.4,-56.87
843654822.3,-54.17
845008460.2,-59.29
846362098.1,-68.40
847715736.0,-74.26
849069373.9,-74.80
850423011.8,-75.08
851776649.7,-75.04
853130287.6,-74.34
854483925.5,-74.55
855837563.5,-74.77
857191201.4,-75.70
858544839.3,-75.41
859898477.2,-74.72
861252115.1,-74.55
862605753.0,-74.96
863959390.9,-74.60
865313028.8,-72.67
866666666.7,-71.52
868020304.6,-72.46
869373942.5,-73.89
870727580.4,-74.81
872081218.3,-74.96
873434856.2,-74.67
874788494.1,-74.19
876142132.0,-74.79
877495769.9,-74.62
878849407.8,-74.81
880203045.7,-75.40
881556683.6,-75.30
882910321.5,-75.73
884263959.4,-75.15
885617597.3,-75.60
886971235.2,-75.56
888324873.1,-75.86
889678511.0,-73.37
891032148.9,-75.06
892385786.8,-75.37
893739424.7,-74.14
895093062.6,-75.39
896446700.5,-75.07
897800338.4,-75.70
899153976.3,-75.12
900507614.2,-73.60
901861252.1,-72.96
903214890.0,-52.54
904568527.9,-22.50
905922165.8,-14.64
907275803.7,-15.60
908629441.6,-26.39
909983079.5,-35.77
911336717.4,-65.27
912690355.3,-74.46
914043993.2,-75.82
915397631.1,-74.50
916751269.0,-75.18
918104906.9,-76.19
919458544.8,-74.98
920812182.7,-74.90
922165820.6,-72.09
923519458.5,-69.46
924873096.4,-51.35
926226734.3,-51.16
