Frequency in Hz,Power in dBm
600000000.0,-75.79
601353637.9,-75.30
602707275.8,-76.36
604060913.7,-75.99
605414551.6,-75.17
606768189.5,-76.07
608121827.4,-74.66
609475465.3,-74.55
610829103.2,-73.92
612182741.1,-74.06
613536379.0,-75.45
614890016.9,-74.56
616243654.8,-76.09
617597292.7,-76.86
618950930.6,-76.43
620304568.5,-73.70
621658206.4,-75.34
623011844.3,-74.85
624365482.2,-73.35
625719120.1,-74.92
627072758.0,-74.46
628426395.9,-75.59
629780033.8,-74.74
631133671.7,-74.40
632487309.6,-76.05
633840947.5,-74.78
635194585.4,-76.48
636548223.4,-75.42
637901861.3,-75.87
639255499.2,-75.93
640609137.1,-76.14
641962775.0,-75.65
643316412.9,-76.02
644670050.8,-72.27
646023688.7,-64.09
647377326.6,-62.18
648730964.5,-61.43
650084602.4,-61.99
651438240.3,-61.56
652791878.2,-64.75
654145516.1,-71.06
655499154.0,-75.23
656852791.9,-75.98
658206429.8,-75.57
659560067.7,-75.57
660913705.6,-75.37
662267343.5,-76.45
663620981.4,-75.97
664974619.3,-75.53
666328257.2,-75.34
667681895.1,-74.89
669035533.0,-75.93
670389170.9,-76.04
671742808.8,-76.15
673096446.7,-76.44
674450084.6,-74.21
675803722.5,-75.75
677157360.4,-76.40
678510998.3,-76.37
679864636.2,-75.33
681218274.1,-76.00
682571912.0,-75.29
683925549.9,-75.11
685279187.8,-75.79
686632825.7,-76.00
687986463.6,-76.02
689340101.5,-75.10
690693739.4,-76.02
692047377.3,-76.24
693401015.2,-75.82
694754653.1,-75.15
696108291.0,-75.91
697461928.9,-76.40
698815566.8,-74.97
700169204.7,-75.02
701522842.6,-75.98
702876480.5,-75.28
704230118.4,-76.12
705583756.3,-74.66
706937394.2,-74.71
708291032.1,-74.57
709644670.1,-76.12
710998308.0,-75.16
712351945.9,-75.21
713705583.8,-74.82
715059221.7,-74.57
716412859.6,-75.60
717766497.5,-75.05
719120135.4,-75.69
720473773.3,-74.88
721827411.2,-74.33
723181049.1,-75.38
724534687.0,-75.79
725888324.9,-72.62
727241962.8,-74.63
728595600.7,-75.03
729949238.6,-74.36
731302876.5,-72.69
732656514.4,-74.72
734010152.3,-74.78
735363790.2,-74.70
736717428.1,-75.15
738071066.0,-75.97
739424703.9,-74.83
740778341.8,-74.92
742131979.7,-73.93
743485617.6,-74.71
744839255.5,-75.34
746192893.4,-74.87
747546531.3,-75.51
748900169.2,-75.61
750253807.1,-75.15
751607445.0,-74.77
752961082.9,-74.51
754314720.8,-74.71
755668358.7,-74.67
757021996.6,-74.77
758375634.5,-74.40
759729272.4,-74.72
761082910.3,-74.12
762436548.2,-75.23
763790186.1,-74.14
765143824.0,-73.98
766497461.9,-73.97
767851099.8,-67.46
769204737.7,-67.40
770558375.6,-63.80
771912013.5,-67.42
773265651.4,-66.00
774619289.3,-62.76
775972927.2,-65.08
777326565.1,-54.03
778680203.0,-49.38
780033840.9,-48.61
781387478.8,-47.51
782741116.8,-47.35
784094754.7,-48.42
785448392.6,-49.34
786802030.5,-51.44
788155668.4,-57.33
789509306.3,-68.89
790862944.2,-56.35
792216582.1,-55.30
793570220.0,-54.21
794923857.9,-50.95
796277495.8,-52.59
797631133.7,-51.03
798984771.6,-45.76
800338409.5,-51.75
801692047.4,-52.60
803045685.3,-52.39
804399323.2,-53.13
805752961.1,-53.14
807106599.0,-51.84
808460236.9,-52.78
809813874.8,-54.63
811167512.7,-48.52
812521150.6,-46.50
813874788.5,-46.52
815228426.4,-48.61
816582064.3,-48.20
817935702.2,-48.89
819289340.1,-50.29
820642978.0,-53.58
821996615.9,-63.81
823350253.8,-72.03
824703891.7,-74.71
826057529.6,-75.48
827411167.5,-74.82
828764805.4,-75.14
830118443.3,-75.44
831472081.2,-75.22
832825719.1,-75.18
834179357.0,-74.76
835532994.9,-74.92
836886632.8,-74.38
838240270.7,-74.22
839593908.6,-75.48
840947546.5,-74.87
842301184.4,-75.52
843654822.3,-75.27
845008460.2,-75.02
846362098.1,-75.27
847715736.0,-75.64
849069373.9,-74.03
850423011.8,-70.97
851776649.7,-70.70
853130287.6,-75.23
854483925.5,-69.22
855837563.5,-71.91
857191201.4,-73.30
858544839.3,-74.76
859898477.2,-71.94
861252115.1,-76.06
862605753.0,-75.25
863959390.9,-74.51
865313028.8,-73.17
866666666.7,-73.03
868020304.6,-73.96
869373942.5,-75.45
870727580.4,-75.35
872081218.3,-75.03
873434856.2,-74.74
874788494.1,-74.20
876142132.0,-75.99
877495769.9,-76.13
878849407.8,-72.85
880203045.7,-75.87
881556683.6,-75.62
882910321.5,-75.99
884263959.4,-75.30
885617597.3,-76.03
886971235.2,-74.90
888324873.1,-74.71
889678511.0,-74.92
891032148.9,-74.35
892385786.8,-75.09
893739424.7,-75.40
895093062.6,-74.21
896446700.5,-74.78
897800338.4,-75.49
899153976.3,-76.41
900507614.2,-75.45
901861252.1,-72.92
903214890.0,-49.84
904568527.9,-18.09
905922165.8,-12.09
907275803.7,-13.32
908629441.6,-24.39
909983079.5,-33.28
911336717.4,-63.16
912690355.3,-74.99
914043993.2,-75.40
915397631.1,-74.85
916751269.0,-74.67
918104906.9,-75.98
919458544.8,-74.78
920812182.7,-75.60
922165820.6,-72.58
923519458.5,-67.84
924873096.4,-56.45
926226734.3,-54.21
927580372.3,-50.23
