Frequency in Hz,Power in dBm
600000000.0,-77.01
601353637.9,-76.57
602707275.8,-75.72
604060913.7,-76.02
605414551.6,-76.47
606768189.5,-74.65
608121827.4,-73.83
609475465.3,-74.15
610829103.2,-73.76
612182741.1,-74.05
613536379.0,-74.10
614890016.9,-75.00
616243654.8,-76.59
617597292.7,-74.37
618950930.6,-75.20
620304568.5,-75.18
621658206.4,-75.27
623011844.3,-75.20
624365482.2,-73.72
625719120.1,-73.80
627072758.0,-74.18
628426395.9,-75.60
629780033.8,-74.98
631133671.7,-75.10
632487309.6,-75.09
633840947.5,-75.31
635194585.4,-76.20
636548223.4,-76.21
637901861.3,-75.45
639255499.2,-74.98
640609137.1,-75.53
641962775.0,-75.84
643316412.9,-75.04
644670050.8,-73.98
646023688.7,-66.23
647377326.6,-61.35
648730964.5,-61.17
650084602.4,-62.56
651438240.3,-62.27
652791878.2,-66.21
654145516.1,-72.20
655499154.0,-74.99
656852791.9,-74.95
658206429.8,-76.49
659560067.7,-74.40
660913705.6,-75.08
662267343.5,-75.60
663620981.4,-75.47
664974619.3,-73.97
666328257.2,-76.39
667681895.1,-76.46
669035533.0,-75.40
670389170.9,-76.74
671742808.8,-75.01
673096446.7,-75.59
674450084.6,-76.03
675803722.5,-76.24
677157360.4,-76.10
678510998.3,-75.08
679864636.2,-75.63
681218274.1,-74.59
682571912.0,-75.15
683925549.9,-74.79
685279187.8,-75.60
686632825.7,-76.80
687986463.6,-75.64
689340101.5,-76.54
690693739.4,-75.28
692047377.3,-74.89
693401015.2,-73.14
694754653.1,-74.36
696108291.0,-76.14
697461928.9,-75.50
698815566.8,-74.05
700169204.7,-76.18
701522842.6,-75.82
702876480.5,-74.00
704230118.4,-73.97
705583756.3,-75.52
706937394.2,-75.32
708291032.1,-74.61
709644670.1,-75.71
710998308.0,-74.83
712351945.9,-74.10
713705583.8,-74.61
715059221.7,-75.58
716412859.6,-75.18
717766497.5,-72.87
719120135.4,-75.34
720473773.3,-75.37
721827411.2,-75.43
723181049.1,-74.02
724534687.0,-75.17
725888324.9,-74.82
727241962.8,-75.60
728595600.7,-74.47
729949238.6,-74.44
731302876.5,-75.35
732656514.4,-74.99
734010152.3,-72.51
735363790.2,-72.77
736717428.1,-73.38
738071066.0,-75.33
739424703.9,-75.28
740778341.8,-74.40
742131979.7,-73.48
743485617.6,-73.38
744839255.5,-74.42
746192893.4,-75.93
747546531.3,-75.22
748900169.2,-74.91
750253807.1,-76.12
751607445.0,-74.43
752961082.9,-74.86
754314720.8,-75.05
755668358.7,-74.54
757021996.6,-75.28
758375634.5,-74.66
759729272.4,-74.75
761082910.3,-76.24
762436548.2,-74.83
763790186.1,-74.12
765143824.0,-74.65
766497461.9,-73.97
767851099.8,-69.94
769204737.7,-68.54
770558375.6,-68.30
771912013.5,-69.44
773265651.4,-64.67
774619289.3,-62.17
775972927.2,-63.22
777326565.1,-53.10
778680203.0,-48.06
780033840.9,-47.31
781387478.8,-46.44
782741116.8,-49.45
784094754.7,-45.18
785448392.6,-46.41
786802030.5,-47.18
788155668.4,-54.65
789509306.3,-62.47
790862944.2,-57.17
792216582.1,-52.35
793570220.0,-52.13
794923857.9,-51.82
796277495.8,-51.53
797631133.7,-50.60
798984771.6,-49.73
800338409.5,-50.74
801692047.4,-53.31
803045685.3,-53.84
804399323.2,-54.28
805752961.1,-52.75
807106599.0,-53.82
808460236.9,-54.32
809813874.8,-53.28
811167512.7,-45.79
812521150.6,-45.16
813874788.5,-44.54
815228426.4,-47.33
816582064.3,-48.25
817935702.2,-48.19
819289340.1,-48.66
820642978.0,-53.20
821996615.9,-66.21
823350253.8,-72.43
824703891.7,-74.91
826057529.6,-74.76
827411167.5,-74.24
828764805.4,-74.69
830118443.3,-75.50
831472081.2,-75.31
832825719.1,-75.98
834179357.0,-76.02
835532994.9,-75.10
836886632.8,-73.33
838240270.7,-66.53
839593908.6,-66.22
840947546.5,-69.07
842301184.4,-74.40
843654822.3,-75.75
845008460.2,-73.90
846362098.1,-74.86
847715736.0,-74.29
849069373.9,-75.42
850423011.8,-76.14
851776649.7,-75.36
853130287.6,-74.22
854483925.5,-70.24
855837563.5,-67.77
857191201.4,-71.88
858544839.3,-69.52
859898477.2,-71.27
861252115.1,-73.93
862605753.0,-75.61
863959390.9,-75.03
865313028.8,-73.24
866666666.7,-72.29
868020304.6,-73.97
869373942.5,-74.62
870727580.4,-75.25
872081218.3,-75.10
873434856.2,-74.26
874788494.1,-74.08
876142132.0,-74.56
877495769.9,-75.11
878849407.8,-74.45
