Frequency in Hz,Power in dBm
600000000.0,-76.29
601353637.9,-76.72
602707275.8,-76.58
604060913.7,-76.56
605414551.6,-75.22
606768189.5,-75.34
608121827.4,-74.57
609475465.3,-74.33
610829103.2,-74.76
612182741.1,-74.46
613536379.0,-74.65
614890016.9,-75.31
616243654.8,-76.89
617597292.7,-75.49
618950930.6,-75.04
620304568.5,-75.51
621658206.4,-75.40
623011844.3,-74.70
624365482.2,-71.91
625719120.1,-74.25
627072758.0,-74.81
628426395.9,-75.80
629780033.8,-75.34
631133671.7,-74.82
632487309.6,-75.14
633840947.5,-75.92
635194585.4,-75.77
636548223.4,-75.97
637901861.3,-75.71
639255499.2,-74.39
640609137.1,-76.19
641962775.0,-75.88
643316412.9,-73.32
644670050.8,-72.88
646023688.7,-66.35
647377326.6,-63.24
648730964.5,-63.59
650084602.4,-63.00
651438240.3,-63.75
652791878.2,-66.90
654145516.1,-72.67
655499154.0,-74.99
656852791.9,-75.57
658206429.8,-76.67
659560067.7,-74.57
660913705.6,-73.65
662267343.5,-76.15
663620981.4,-75.82
664974619.3,-75.96
666328257.2,-75.75
667681895.1,-76.09
669035533.0,-75.49
670389170.9,-75.78
671742808.8,-75.80
673096446.7,-76.15
674450084.6,-74.81
675803722.5,-75.86
677157360.4,-75.37
678510998.3,-74.85
679864636.2,-75.82
681218274.1,-75.11
682571912.0,-76.70
683925549.9,-74.86
685279187.8,-74.97
686632825.7,-76.92
687986463.6,-74.88
689340101.5,-75.12
690693739.4,-74.40
692047377.3,-76.19
693401015.2,-74.46
694754653.1,-75.48
696108291.0,-75.86
697461928.9,-75.98
698815566.8,-76.82
700169204.7,-75.99
701522842.6,-75.68
702876480.5,-76.15
704230118.4,-75.32
705583756.3,-75.67
706937394.2,-75.51
708291032.1,-74.59
709644670.1,-74.67
710998308.0,-75.95
712351945.9,-76.00
713705583.8,-76.02
715059221.7,-75.12
716412859.6,-74.92
717766497.5,-76.16
719120135.4,-75.97
720473773.3,-75.63
721827411.2,-75.10
723181049.1,-75.73
724534687.0,-73.32
725888324.9,-75.36
727241962.8,-75.20
728595600.7,-73.50
729949238.6,-75.51
731302876.5,-75.64
