Frequency in Hz,Power in dBm
600000000.0,-75.81
601353637.9,-75.23
602707275.8,-75.57
604060913.7,-75.06
605414551.6,-75.73
606768189.5,-75.07
608121827.4,-74.79
609475465.3,-74.69
610829103.2,-73.96
612182741.1,-74.48
613536379.0,-74.70
614890016.9,-75.44
616243654.8,-76.08
617597292.7,-75.37
618950930.6,-76.24
620304568.5,-75.35
621658206.4,-74.72
623011844.3,-74.70
624365482.2,-70.36
625719120.1,-73.37
627072758.0,-74.35
628426395.9,-74.93
629780033.8,-76.26
631133671.7,-76.11
632487309.6,-75.70
633840947.5,-74.75
635194585.4,-76.27
636548223.4,-75.37
637901861.3,-74.68
639255499.2,-74.74
640609137.1,-76.04
641962775.0,-76.06
643316412.9,-76.36
644670050.8,-73.85
646023688.7,-66.10
647377326.6,-63.61
648730964.5,-64.32
650084602.4,-64.93
651438240.3,-65.04
652791878.2,-68.43
654145516.1,-71.75
655499154.0,-75.33
656852791.9,-75.76
658206429.8,-75.64
659560067.7,-75.43
660913705.6,-74.65
662267343.5,-75.34
663620981.4,-75.44
664974619.3,-75.57
666328257.2,-75.36
667681895.1,-72.97
669035533.0,-75.04
670389170.9,-75.54
671742808.8,-75.33
673096446.7,-77.14
674450084.6,-75.54
675803722.5,-75.02
677157360.4,-74.81
678510998.3,-75.33
679864636.2,-75.88
681218274.1,-75.30
682571912.0,-75.59
683925549.9,-75.56
685279187.8,-76.12
686632825.7,-76.01
687986463.6,-76.12
689340101.5,-75.55
690693739.4,-74.19
692047377.3,-76.44
693401015.2,-75.70
694754653.1,-76.22
696108291.0,-74.53
697461928.9,-75.53
698815566.8,-75.83
700169204.7,-76.01
701522842.6,-74.72
702876480.5,-75.97
704230118.4,-74.60
705583756.3,-75.92
706937394.2,-75.40
708291032.1,-74.28
709644670.1,-74.49
710998308.0,-75.10
712351945.9,-74.16
713705583.8,-75.71
715059221.7,-75.59
716412859.6,-75.49
717766497.5,-74.95
719120135.4,-75.26
720473773.3,-74.68
721827411.2,-75.59
723181049.1,-74.83
724534687.0,-74.22
725888324.9,-75.28
727241962.8,-75.24
728595600.7,-73.84
729949238.6,-75.24
731302876.5,-76.03
732656514.4,-76.40
734010152.3,-75.42
735363790.2,-74.96
736717428.1,-75.13
738071066.0,-75.80
739424703.9,-76.48
740778341.8,-74.15
742131979.7,-73.76
743485617.6,-75.15
744839255.5,-76.32
746192893.4,-75.50
747546531.3,-76.05
748900169.2,-75.79
750253807.1,-74.76
